SPECIES,iucn_category
MLM,LC
MGC,LC
CTT,LC
LUH,LC
FCN,LC
FGS,LC
ASU,LC
YCH,LC
LZV,LC
LYC,CR
SNU,LC
TLR,LC
CHK,LC
MLS,NT
SQO,LC
SQL,LC
BBU,LC
BBK,LC
RJI,EN
RJF,VU
RJN,LC
RJO,NT
TRG,VU
RJA,EN
RJY,LC
RJG,LC
JAD,NT
SQP,LC
EFV,VU
ELG,NT
RJB,CR
RJR,VU
WHM,VU
SLR,LC
SEH,LC
SAC,EN
SER,LC
RRH,LC
ANS,LC
DIH,LC
COS,LC
GUD,NT
PIA,LC
JAP,LC
JRT,EN
RRW,VU
JRY,VU
SPP,LC
LOG,LC
ACC,LC
ALA,LC
SOS,LC
GUR,LC
NUC,LC
MGA,LC
LZS,LC
RMB,VU
PLS,LC
RJK,LC
TGH,LC
PUI,LC
LZH,LC
AHT,LC
WST,NT
OFJ,LC
RBC,CR
CPI,LC
PKB,LC
SRP,LC
CYW,VU
SQF,LC
EEY,LC
LUC,VU
HOO,LC
EWC,LC
DHG,VU
RDC,LC
AWT,NT
PND,NT
EEL,VU
JRI,LC
RJD,NT
MUF,LC
SBG,LC
BFT,EN
BSS,LC
CTB,LC
SAL,LR/lc
FCP,VU
ELE,CR
MGR,LC
COB,VU
RPG,LC
SHR,LC
SWA,LC
PAC,LC
FLE,LC
DEC,VU
RSS,LC
SZH,LC
MIL,LC
ENI,LC
GIP,LC
MAL,LC
YFT,NT
SCN,LC
TUG,EN
HFC,EN
RES,LC
TRZ,LC
TXK,NT
RDM,LC
TLN,LC
TRS,LC
AMB,LC
CTC,LC
REV,LC
SRI,LC
SOC,LC
CBA,LC
EPA,EN
GSU,LC
AMJ,LC
ELJ,EN
JJM,NT
RCW,LC
POM,LC
LMM,LC
BSC,LC
DEP,LC
REA,LC
MLB,LC
MCS,LC
SFI,CR
SVC,NT
CMG,LC
LRH,LC
MUC,NT
PRJ,CR
PTG,LC
RNM,VU
CLZ,LC
FPE,LC
FPI,LC
PTB,LC
HUC,EN
APG,CR
APR,VU
FTE,LC
HUH,CR
FPP,LC
PLN,VU
ITM,LC
MPS,LC
CGO,LC
EPR,LC
AAA,CR
APE,CR
SBF,CR
SNO,LC
CKM,LC
HRF,LC
TAR,VU
ELU,NT
CVJ,LC
SOM,LC
ACH,LC
CIJ,LC
FCC,LC
FBM,LC
GTA,LC
ITP,LC
FID,LC
FRO,LC
TLV,LC
AAS,VU
STB,LC
CFS,LC
HIX,LC
LCB,LC
OBL,NT
PGS,EN
PRF,LC
FGG,LC
FGO,LC
FIS,LC
FPC,LC
GBM,LC
MYN,LC
TLM,VU
KUR,LC
SRO,LC
CDT,VU
LBM,LC
CMA,LC
FLT,LC
GFZ,LC
MNX,LC
ALR,LC
PCL,LC
SRE,LC
PSM,LC
SWT,LC
TZO,LC
WUB,LC
MBM,LC
FSS,LC
BYB,NT
CBT,LC
QOF,LC
CUJ,EN
PGP,LC
THQ,LC
BMK,VU
CXS,LC
LMS,LC
MAB,NT
NXI,LC
POO,LC
LUB,LC
TDS,LR/cd
CNP,LC
HTF,LC
KNA,LC
NCC,NT
ONN,LC
PUS,LC
WAA,VU
CRP,LC
PLM,LC
APB,EN
ZHB,LC
TDG,VU
EWF,VU
EWL,LC
LJT,LC
MAR,LC
LHI,LC
LJH,LC
DOD,LC
MAS,LC
RFR,LC
PBF,VU
LJB,LC
ELA,EN
AGR,LC
PXR,LC
FPY,LC
BCM,VU
DOM,LC
RMQ,LC
RYJ,EN
BZH,LC
LPB,LC
BSB,LC
BLU,VU
LMA,EN
SQI,LC
KRI,LC
BUM,VU
BGJ,LC
NIP,LC
LOC,CR
ORM,VU
STA,VU
HTN,LC
HEB,LC
HEL,LC
HED,LC
OGN,LC
ONP,LC
CRT,CR
CSR,LC
CLN,LC
OIT,LC
HJF,LC
OIH,LC
ROG,LC
YBB,CR
COD,VU
HAL,EN
BKR,LC
MCP,LC
POL,LC
SPU,LC
ATB,LC
SBR,NT
MCA,LC
HAD,VU
AAR,LC
HON,LC
FBU,LC
SPL,CR
SMD,VU
SDS,LC
GAG,VU
DGS,VU
LTA,LC
PIG,LC
SHH,LC
SQA,LC
SQE,LC
FAL,VU
NEP,LC
LBE,LC
ALB,NT
BAF,LC
OIJ,LC
MGU,LC
RJE,NT
ANT,LC
SNL,NT
SMA,EN
BSH,NT
OCS,CR
ENA,LC
ITE,LC
LEC,LC
CNU,LC
PIW,LC
DCO,LC
IPO,LC
DRR,LC
BWD,LC
DBO,LC
DST,LC
SMR,LC
SWO,LC
KGG,LC
WEW,LC
PHR,LC
SEC,LC
YTC,LC
EUL,LC
DHI,VU
AKR,LC
STV,LC
SZC,LC
HOM,VU
GYN,LC
DBZ,NT
DPN,LC
DSI,LC
CRI,LC
ROY,LC
KIC,NT
BON,LC
WAH,LC
POR,VU
YSF,LC
