scientificname,SPECIES
Sebastes fasciatus,REN
Scomber colias,VMA
Beryx splendens,BYS
Thunnus alalunga,ALB
Bathyraja parmifera,BYF
Hippoglossoides platessoides,PLA
Engraulis encrasicolus,ANE
Clupeonella engrauliformis,CLE
Lophius budegassa,ANK
Theragra chalcogramma,ALK
Mactromeris polynyma,IFM
Atheresthes stomias,ARF
Engraulis anchoita,ANA
Merluccius hubbsi,HKP
Pleurogrammus azonus,ATK
Decapterus muroadsi,DCD
Squatina squatina,AGN
Thunnus thynnus,BFT
Hippoglossus hippoglossus,HAL
Pleurogrammus monopterygius,HUM
Micropogonias undulatus,CKA
Dissostichus mawsoni,TOA
Sebastes aurora,RVR
Arripis trutta,ASA
Anarhichas lupus,CAA
Callinectes sapidus,CRB
Pseudotolithus elongatus,PSE
Beryx spp,ALF
Macruronus novaezelandiae,GRN
Sebastes melanostomus,RVM
Brachydeuterus auritus,GRB
Merluccius polli,HKB
Sphyrna tiburo,SPJ
Thunnus obesus,BET
Centroberyx gerrardi,CXZ
Raja binoculata,JRI
Trachurus picturatus,JAA
Epigonus telescopus,EPI
Paralithodes platypus,KCI
Aphanopus carbo,BSF
Mycteroperca bonaci,MAB
Allocyttus niger,BOE
Sebastes melanops,RMG
Molva dypterygia,BLI
Raja brachyura,RJH
Prionace glauca,BSH
Caulolatilus microps,ULM
Pomatomus saltatrix,BLU
Sebastes mystinus,SFY
Scomber australasicus,MAA
Makaira nigricans,BUM
Galeus melastomus,SHO
Sebastes rufus,QYV
Carcharhinus acronotus,CCN
Hyperoglyphe antarctica,BWA
Capros aper,BOC
Sebastes paucispinis,SBC
Ethmalosa fimbriata,BOA
Scophthalmus rhombus,BLL
Dentex tumifrons,DTT
Dentex spp,DEX
Sebastes auriculatus,RIQ
Centropristis striata,BSB
Thamnaconus modestus,TKD
Cetorhinus maximus,BSK
Cervimunida johni,CZJ
Carcharhinus limbatus,CCL
Penaeus esculentus,PRB
Peprilus triacanthus,BUT
Micromesistius poutassou,WHB
Chionoecetes japonicus,CWJ
Scorpaenichthys marmoratus,SMQ
Scorpaena guttata,SGZ
Mallotus villosus,CAP
Arius spp,AWX
Merluccius capensis,HKK
Sebastes goodei,SGO
Trachurus trecae,HMZ
Sebastes nebulosus,RVN
Loligo reynaudii,CHO
Trachurus murphyi,CJM
Pristipomoides filamentosus,PFM
Scomber japonicus,MAS
Rachycentron canadum,CBA
Gadus morhua,COD
Sebastes levis,QYT
Pagellus erythrinus,PAC
Sebastes caurinus,SFJ
Jasus lalandii,LBC
Pseudotolithus spp,CKW
Sebastes pinniger,SPG
Oncorhynchus keta,CHU
Strangomera bentincki,CKI
Penaeus spp,PEN
Raja eglanteria,JFE
Trachurus capensis,HMC
Brosme brosme,USK
Sepia spp,IAX
Limanda limanda,DAB
Merluccius paradoxus,HKO
Platycephalus conatus,FTL
Sebastes crameri,RFC
Ostrea chilensis,OCH
Parapenaeus longirostris,DPS
Carcharhinus obscurus,DUS
Microstomus pacificus,MIP
Glossanodon semifasciatus,DES
Dicentrarchus labrax,BSS
Platichthys flesus,FLE
Pollachius pollachius,POL
Thaleichthys pacificus,EUL
Hippoglossoides dubius,HGD
Hippoglossoides elassodon,FTS
Lepidorhombus boscii,LDB
Caranx rhonchus,HMY
Etelis coruscans,ETC
Carcharhinus isodon,CCO
Mycteroperca microlepis,MKM
Rexea solandri,GEM
Phycis blennoides,GFB
Pomadasys spp,BGX
Eutrigla gurnardus,GUG
Reinhardtius hippoglossoides,GHL
Sparus aurata,SBG
Epinephelus itajara,EET
Sebastes carnatus,QYS
Seriola dumerili,AMB
Sebastes elongatus,SFE
Aristaeomorpha foliacea,ARS
Sebastes chlorostictus,QYR
Argentina silus,ARU
Kathetostoma giganteum,STZ
Penaeus semisulcatus,TIP
Strongylocentrotus droebachiensis,UYD
Melanogrammus aeglefinus,HAD
Merluccius merluccius,HKE
Clupea harengus,HER
Clupea pallasii,HEP
Branchiostegus japonicus,TIH
Trachurus trachurus,HOM
Illex illecebrosus,SQI
Seriola quinqueradiata,AMJ
Engraulis japonicus,JAN
Todarodes pacificus,SQJ
Trachurus japonicus,JJM
Takifugu rubripes,TXK
Paracaesio caerulea,LRC
Sebastolobus macrochir,SJW
Hexagrammos decagrammus,HXQ
Dalatias licha,SCK
Genypterus capensis,KCP
Scomberomorus cavalla,KGM
Atheresthes evermanni,KAF
Laemonema longipes,LMG
Dentex macrophthalmus,DEL
Centrophorus squamosus,GUQ
Trichiurus lepturus,LHT
Ophiodon elongatus,CLI
Molva molva,LIN
Loligo pealeii,SQL
Pristipomoides sieboldii,LRB
Raja rhina,JAH
Homarus americanus,LBA
Scyliorhinus canicula,SYC
Microstomus kitt,LEM
Sebastolobus altivelis,SJZ
Scomber scombrus,MAC
Lepidorhombus whiffiagonis,MEG
Lepidorhombus spp,LEZ
Brevoortia patronus,MHG
Brevoortia tyrannus,MHA
Trachurus mediterraneus,HMM
Lophius americanus,ANG
Nemadactylus macropterus,TAK
Mugil cephalus,MUF
Lutjanus analis,LJN
Nephrops norvegicus,NEP
Trisopterus esmarkii,NOP
Sebastes polyspinis,RVP
Lepidopsetta polyxystra,KZC
Heterocarpus reedi,CHS
Genypterus blacodes,CUS
Octopus vulgaris,OCC
Paralichthys olivaceus,BAH
Hoplostethus atlanticus,ORY
Thunnus orientalis,PBF
Engraulis ringens,VET
Pandalus borealis,PRA
Macruronus magellanicus,GRM
Haliotis iris,DZS
Gadus macrocephalus,PCO
Sebastes alutus,OPP
Panopea generosa,GEC
Merluccius productus,NHA
Hippoglossus stenolepis,HAP
Cleisthenes herzensteini,HZJ
Spicara smaris,SPC
Sardinops melanostictus,JAP
Pleuronectes platessa,PLE
Pollachius virens,POK
Lamna nasus,POR
Trisopterus minutus,POD
Oncorhynchus gorbuscha,PIN
Ammodytes personatus,PAS
Eopsetta jordani,EOJ
Dissostichus eleginoides,TOP
Sebastes maliger,SFG
Arctica islandica,CLQ
Pagrus major,REV
Pagellus bogaraveo,SBR
Chaceon quinquedens,CRR
Aristeus antennatus,ARA
Sebastes mentella,REB
Centroberyx affinis,CXF
Sebastes spp,RED
Glyptocephalus zachirus,GLZ
Sebastes aleutianus,SFT
Epinephelus morio,GPR
Urophycis chuss,HKR
Etrumeus teres,RRH
Macrourus berglax,RHG
Paralithodes camtschaticus,KCD
Mullus barbatus,MUT
Coryphaenoides rupestris,RNG
Cancer irroratus,CRK
Pagellus bellottii,PAR
Pagrus pagrus,RPG
Jasus edwardsii,LOR
Sardinella aurita,SAA
Eopsetta grigorjewi,EPW
Lutjanus campechanus,SNR
Lepidopsetta bilineata,ROS
Pleuroncodes monodon,PQG
Clidoderma asperrimum,CDJ
Haliotis midae,ABP
Anoplopoma fimbria,SAB
Istiophorus albicans,SAI
Sardinops sagax,CHP
Sardinella spp,SIX
Sardina pilchardus,PIL
Cololabis saira,SAP
Carcharhinus plumbeus,CCP
Sebastes jordani,SFK
Epigonus crassicaudus,EGV
Thunnus maccoyii,SBF
Micromesistius australis,POS
Placopecten magellanicus,SCA
Sphyrna lewini,SPL
Metanephrops challengeri,MEC
Stenotomus chrysops,SCP
Squalus acanthias,DGS
Ammodytes spp,SAN
Raja microocellata,RJE
Paralichthys dentatus,FLS
Isurus oxyrinchus,SMA
Merluccius bilinearis,HKS
Oratosquilla oratoria,OQO
Sebastes zacentrus,RVZ
Mustelus spp,SDV
Seriolella punctata,SEP
Katsuwonus pelamis,SKJ
Lutjanus vivanus,LTJ
Mustelus canis,CTI
Pseudocyttus maculatus,SSO
Malacoraja senta,RJS
Squilla mantis,MTS
Mullus surmuletus,MUR
Rhizoprionodon terraenovae,RHT
Chionoecetes opilio,CRQ
Epinephelus niveatus,EFV
Sebastes diploproa,SFD
Solea solea,SOL
Cynoglossus spp,YOX
Merluccius australis,HKN
Scomberomorus niphonius,NPH
Scomberomorus maculatus,SSM
Merluccius gayi,PHA
Sprattus sprattus,SPR
Raja montagui,RJM
Squalus suckleyi,QYW
Loligo bleekeri,OGK
Sebastes borealis,SFB
Oncorhynchus nerka,SOC
Arctoscopus japonicus,JAS
Sprattus fuegensis,FAS
Mya arenaria,CLS
Pandalopsis dispar,NDD
Palinurus gilchristi,SLS
Sebastolobus alascanus,SJU
Platichthys stellatus,PWQ
Morone saxatilis,STB
Salmo trutta,TRS
Pandalus montagui,AES
Spisula solidissima,CLB
Sillago flindersi,ILQ
Xiphias gladius,SWO
Chionoecetes bairdi,CVB
Pseudocarcinus gigas,GKT
Raja clavata,RJC
Galeoides decadactylus,GAL
Lopholatilus chamaeleonticeps,TIL
Galeorhinus galeus,GAG
Pseudocaranx dentex,TRZ
Psetta maxima,TUR
Raja undulata,RJU
Rhomboplites aurorubens,RPU
Lophius piscatorius,MON
Seriolella brama,SEM
Cynoscion regalis,STG
Urophycis tenuis,HKW
Merlangius merlangus,WHG
Scophthalmus aquosus,FLD
Pseudopleuronectes americanus,FLW
Glyptocephalus cynoglossus,WIT
Tetrapturus albidus,WHM
Sebastes entomelas,WRO
Conger myriaster,ELS
Patinopecten caurinus,SCG
Buccinum undatum,WHE
Epinephelus flavolimbatus,EEL
Limanda ferruginea,YEL
Sebastes ruberrimus,RRV
Thunnus albacares,YFT
Lophius litulon,MVN
Zearaja chilensis,DPV
Limanda aspera,YES
Sebastes flavidus,YRO
Ocyurus chrysurus,SNY
Pagrus auratus,GSU
Platycephalus richardsoni,PHI
Istiompax indica,BLM
Farfantepenaeus aztecus,ABS
Dipturus laevis,RJL
Leucoraja naevus,RJN
Parophrys vetulus,RFE
Enteroctopus dofleini,OQF
Balistes capriscus,TRG
Leucoraja erinacea,RJD
Zoarces americanus,OPT
Farfantepenaeus duorarum,APS
Chelidonichthys cuculus,GUR
Leucoraja garmani,JFG
Leucoraja circularis,RJI
Leucoraja fullonica,RJF
Farfantepenaeus notialis,SOP
Kajikia audax,MLS
Amblyraja radiata,RJR
Uroteuthis edulis,OJE
Scophthalmus maximus,TUR
Tanakius kitaharae,TKA
Litopenaeus setiferus,PST
Leucoraja ocellata,RJT
Pleuronectes quadrituberculatus,ALP
Makaira mazara,BUM
