SPECIES,id_level,nei_levels,excluded,farmed,wild_caught,farmed_only
LAU,Species,NA,included,NA,yes,NA
LAR,Species,NA,included,NA,yes,NA
LAS,Nei,family,included,NA,yes,NA
MYG,Species,NA,included,NA,yes,NA
MWC,Species,NA,included,NA,yes,NA
MYX,Nei,family,included,NA,yes,NA
SBL,Species,NA,included,NA,yes,NA
HXT,Species,NA,included,NA,yes,NA
NTC,Species,NA,included,NA,yes,NA
BSK,Species,NA,included,NA,yes,NA
CCT,Species,NA,included,NA,yes,NA
PSK,Species,NA,included,NA,yes,NA
ALV,Species,NA,included,NA,yes,NA
PTH,Species,NA,included,NA,yes,NA
BTH,Species,NA,included,NA,yes,NA
THR,Nei,genus,included,NA,yes,NA
SMA,Species,NA,included,NA,yes,NA
LMA,Species,NA,included,NA,yes,NA
MAK,Nei,genus,included,NA,yes,NA
POR,Species,NA,included,NA,yes,NA
WSH,Species,NA,included,NA,yes,NA
MSK,Nei,family,included,NA,yes,NA
GNC,Species,NA,included,NA,yes,NA
SHO,Species,NA,included,NA,yes,NA
GAM,Species,NA,included,NA,yes,NA
SYC,Species,NA,included,NA,yes,NA
SYT,Species,NA,included,NA,yes,NA
SCL,Nei,genus,included,NA,yes,NA
HAN,Species,NA,included,NA,yes,NA
CPS,Species,NA,included,NA,yes,NA
SYX,Nei,family,included,NA,yes,NA
BSH,Species,NA,included,NA,yes,NA
CCP,Species,NA,included,NA,yes,NA
CCL,Species,NA,included,NA,yes,NA
CCN,Species,NA,included,NA,yes,NA
OCS,Species,NA,included,NA,yes,NA
CCR,Species,NA,included,NA,yes,NA
CCD,Species,NA,included,NA,yes,NA
DUS,Species,NA,included,NA,yes,NA
FAL,Species,NA,included,NA,yes,NA
CCE,Species,NA,included,NA,yes,NA
BRO,Species,NA,included,NA,yes,NA
CCB,Species,NA,included,NA,yes,NA
CCS,Species,NA,included,NA,yes,NA
CCO,Species,NA,included,NA,yes,NA
CCQ,Species,NA,included,NA,yes,NA
TIG,Species,NA,included,NA,yes,NA
NGB,Species,NA,included,NA,yes,NA
RHT,Species,NA,included,NA,yes,NA
RHA,Species,NA,included,NA,yes,NA
RHL,Species,NA,included,NA,yes,NA
RHR,Species,NA,included,NA,yes,NA
RSK,Nei,family,included,NA,yes,NA
SPZ,Species,NA,included,NA,yes,NA
SPL,Species,NA,included,NA,yes,NA
SPJ,Species,NA,included,NA,yes,NA
SPK,Species,NA,included,NA,yes,NA
SPY,Nei,family,included,NA,yes,NA
CTU,Species,NA,included,NA,yes,NA
CTI,Species,NA,included,NA,yes,NA
CTK,Species,NA,included,NA,yes,NA
MTL,Species,NA,included,NA,yes,NA
SDP,Species,NA,included,NA,yes,NA
SMD,Species,NA,included,NA,yes,NA
SDS,Species,NA,included,NA,yes,NA
SDV,Nei,genus,included,NA,yes,NA
GAG,Species,NA,included,NA,yes,NA
LES,Species,NA,included,NA,yes,NA
TTE,Species,NA,included,NA,yes,NA
THJ,Species,NA,included,NA,yes,NA
HEI,Species,NA,included,NA,yes,NA
CLL,Species,NA,included,NA,yes,NA
CPG,Species,NA,included,NA,yes,NA
GSK,Species,NA,included,NA,yes,NA
SOR,Species,NA,included,NA,yes,NA
SON,Species,NA,included,NA,yes,NA
QUB,Species,NA,included,NA,yes,NA
DGS,Species,NA,included,NA,yes,NA
GUP,Species,NA,included,NA,yes,NA
GUQ,Species,NA,included,NA,yes,NA
CPL,Species,NA,included,NA,yes,NA
ETX,Species,NA,included,NA,yes,NA
ETR,Species,NA,included,NA,yes,NA
SHL,Nei,genus,included,NA,yes,NA
DCA,Species,NA,included,NA,yes,NA
SDU,Species,NA,included,NA,yes,NA
CYO,Species,NA,included,NA,yes,NA
CYP,Species,NA,included,NA,yes,NA
CYW,Species,NA,included,NA,yes,NA
CYU,Species,NA,included,NA,yes,NA
SYR,Species,NA,included,NA,yes,NA
SCK,Species,NA,included,NA,yes,NA
CFB,Species,NA,included,NA,yes,NA
DGX,Nei,family,included,NA,yes,NA
DGH,Nei,family,included,NA,yes,NA
PWS,Nei,genus,included,NA,yes,NA
AGN,Species,NA,included,NA,yes,NA
SUG,Species,NA,included,NA,yes,NA
SUC,Species,NA,included,NA,yes,NA
ASK,Nei,family,included,NA,yes,NA
OXY,Species,NA,included,NA,yes,NA
OXN,Species,NA,included,NA,yes,NA
SHB,Species,NA,included,NA,yes,NA
RCA,Species,NA,included,NA,yes,NA
RCD,Species,NA,included,NA,yes,NA
RBC,Species,NA,included,NA,yes,NA
GUD,Species,NA,included,NA,yes,NA
GUF,Species,NA,included,NA,yes,NA
RBX,Species,NA,included,NA,yes,NA
GTF,Nei,family,included,NA,yes,NA
SAW,Nei,family,included,NA,yes,NA
RJB,Species,NA,included,NA,yes,NA
RJC,Species,NA,included,NA,yes,NA
RJR,Species,NA,included,NA,yes,NA
RJM,Species,NA,included,NA,yes,NA
RJH,Species,NA,included,NA,yes,NA
RJI,Species,NA,included,NA,yes,NA
RJF,Species,NA,included,NA,yes,NA
RJE,Species,NA,included,NA,yes,NA
RJN,Species,NA,included,NA,yes,NA
RJO,Species,NA,included,NA,yes,NA
RJU,Species,NA,included,NA,yes,NA
RFA,Species,NA,included,NA,yes,NA
RJA,Species,NA,included,NA,yes,NA
RJY,Species,NA,included,NA,yes,NA
SRR,Species,NA,included,NA,yes,NA
JRS,Species,NA,included,NA,yes,NA
JRI,Species,NA,included,NA,yes,NA
JRT,Species,NA,included,NA,yes,NA
JRY,Species,NA,included,NA,yes,NA
RJD,Species,NA,included,NA,yes,NA
RJG,Species,NA,included,NA,yes,NA
RJK,Species,NA,included,NA,yes,NA
JFY,Species,NA,included,NA,yes,NA
JAI,Species,NA,included,NA,yes,NA
JAD,Species,NA,included,NA,yes,NA
BEA,Species,NA,included,NA,yes,NA
BAM,Species,NA,included,NA,yes,NA
BMU,Species,NA,included,NA,yes,NA
BYR,Species,NA,included,NA,yes,NA
BYE,Species,NA,included,NA,yes,NA
RJQ,Species,NA,included,NA,yes,NA
BZB,Species,NA,included,NA,yes,NA
BZM,Species,NA,included,NA,yes,NA
BHY,Nei,genus,included,NA,yes,NA
DPQ,Species,NA,included,NA,yes,NA
ZRN,Species,NA,included,NA,yes,NA
DPV,Species,NA,included,NA,yes,NA
RRW,Species,NA,included,NA,yes,NA
XMB,Nei,genus,included,NA,yes,NA
YBQ,Species,NA,included,NA,yes,NA
YAW,Species,NA,included,NA,yes,NA
RAJ,Nei,family,included,NA,yes,NA
WST,Species,NA,included,NA,yes,NA
RDA,Species,NA,included,NA,yes,NA
RDV,Species,NA,included,NA,yes,NA
RDC,Species,NA,included,NA,yes,NA
PLS,Species,NA,included,NA,yes,NA
RDL,Species,NA,included,NA,yes,NA
JDP,Species,NA,included,NA,yes,NA
STI,Nei,genus,included,NA,yes,NA
DHG,Species,NA,included,NA,yes,NA
STT,Nei,family,included,NA,yes,NA
QEX,Nei,genus,included,NA,yes,NA
MAE,Species,NA,included,NA,yes,NA
MYL,Species,NA,included,NA,yes,NA
MRB,Species,NA,included,NA,yes,NA
MRM,Species,NA,included,NA,yes,NA
MRS,Species,NA,included,NA,yes,NA
EAG,Nei,family,included,NA,yes,NA
RMB,Species,NA,included,NA,yes,NA
RMJ,Species,NA,included,NA,yes,NA
RMM,Species,NA,included,NA,yes,NA
RMV,Nei,genus,included,NA,yes,NA
MAN,Nei,family,included,NA,yes,NA
RGL,Species,NA,included,NA,yes,NA
RGM,Species,NA,included,NA,yes,NA
RGI,Species,NA,included,NA,yes,NA
SRX,Nei,order,included,NA,yes,NA
TTW,Species,NA,included,NA,yes,NA
TOE,Nei,genus,included,NA,yes,NA
CMO,Species,NA,included,NA,yes,NA
CMH,Species,NA,included,NA,yes,NA
RAT,Species,NA,included,NA,yes,NA
CYV,Species,NA,included,NA,yes,NA
HYD,Nei,genus,included,NA,yes,NA
RCT,Species,NA,included,NA,yes,NA
CHB,Species,NA,included,NA,yes,NA
CHJ,Species,NA,included,NA,yes,NA
CHM,Species,NA,included,NA,yes,NA
CAH,Nei,family,included,NA,yes,NA
HOL,Nei,order,included,NA,yes,NA
PPB,Species,NA,included,NA,yes,NA
FLU,Nei,genus,included,NA,yes,NA
APG,Species,NA,included,yes,yes,NA
AAA,Species,NA,included,yes,NA,yes
APR,Species,NA,included,yes,yes,NA
APE,Species,NA,included,yes,yes,NA
AAN,Species,NA,included,NA,yes,NA
APN,Species,NA,included,yes,yes,NA
APB,Species,NA,included,yes,NA,yes
AAM,Species,NA,included,NA,yes,NA
HUH,Species,NA,included,yes,yes,NA
STU,Nei,family,included,yes,yes,NA
PAM,Species,NA,included,yes,yes,NA
AAC,Species,NA,included,NA,yes,NA
JTP,Species,NA,included,NA,yes,NA
LKX,Nei,genus,included,NA,yes,NA
LXS,Nei,family,included,NA,yes,NA
HER,Species,NA,included,NA,yes,NA
HEP,Species,NA,included,NA,yes,NA
AGS,Species,NA,included,NA,yes,NA
CUI,Species,NA,included,NA,yes,NA
SHC,Species,NA,included,NA,yes,NA
SHA,Species,NA,included,NA,yes,NA
ASD,Species,NA,included,NA,yes,NA
TSD,Species,NA,included,NA,yes,NA
ALE,Species,NA,included,NA,yes,NA
BBH,Species,NA,included,NA,yes,NA
SHH,Species,NA,included,NA,yes,NA
SHZ,Nei,genus,included,NA,yes,NA
SAG,Species,NA,included,NA,yes,NA
IOS,Species,NA,included,NA,yes,NA
SAA,Species,NA,included,NA,yes,NA
SAE,Species,NA,included,NA,yes,NA
JSS,Species,NA,included,NA,yes,NA
SAM,Species,NA,included,NA,yes,NA
BSR,Species,NA,included,NA,yes,NA
SIX,Nei,genus,included,NA,yes,NA
JAP,Species,NA,included,NA,yes,NA
CPI,Species,NA,included,NA,yes,NA
CHP,Species,NA,included,NA,yes,NA
PIA,Species,NA,included,NA,yes,NA
SRP,Species,NA,included,NA,yes,NA
ASP,Nei,genus,included,NA,yes,NA
SIA,Species,NA,included,NA,yes,NA
SHG,Species,NA,included,NA,yes,NA
CDA,Species,NA,included,NA,yes,NA
DQX,Nei,genus,included,NA,yes,NA
CHG,Species,NA,included,NA,yes,NA
MHS,Species,NA,included,NA,yes,NA
MHP,Species,NA,included,NA,yes,NA
MHA,Species,NA,included,NA,yes,NA
MHG,Species,NA,included,NA,yes,NA
RAS,Species,NA,included,NA,yes,NA
RAL,Species,NA,included,NA,yes,NA
BOA,Species,NA,included,NA,yes,NA
RRH,Species,NA,included,NA,yes,NA
WRR,Species,NA,included,NA,yes,NA
HCT,Species,NA,included,NA,yes,NA
SAS,Nei,genus,included,NA,yes,NA
HIX,Species,NA,included,yes,NA,yes
HIL,Species,NA,included,NA,yes,NA
TOL,Species,NA,included,NA,yes,NA
CNS,Species,NA,included,NA,yes,NA
THP,Species,NA,included,NA,yes,NA
THA,Species,NA,included,NA,yes,NA
SRH,Species,NA,included,NA,yes,NA
DAS,Species,NA,included,NA,yes,NA
CLA,Species,NA,included,NA,yes,NA
DOD,Species,NA,included,yes,yes,NA
LCS,Species,NA,included,NA,yes,NA
PIL,Species,NA,included,NA,yes,NA
SPR,Species,NA,included,NA,yes,NA
FAS,Species,NA,included,NA,yes,NA
MES,Species,NA,included,NA,yes,NA
HES,Species,NA,included,NA,yes,NA
LTM,Species,NA,included,NA,yes,NA
CKI,Species,NA,included,NA,yes,NA
CLP,Nei,family,included,NA,yes,NA
DAG,Nei,genus,included,NA,yes,NA
ANE,Species,NA,included,NA,yes,NA
JAN,Species,NA,included,NA,yes,NA
ANA,Species,NA,included,NA,yes,NA
NPA,Species,NA,included,NA,yes,NA
VET,Species,NA,included,NA,yes,NA
ANC,Species,NA,included,NA,yes,NA
STL,Species,NA,included,NA,yes,NA
AVA,Species,NA,included,NA,yes,NA
VEP,Species,NA,included,NA,yes,NA
EAM,Species,NA,included,NA,yes,NA
EAN,Species,NA,included,NA,yes,NA
ENP,Species,NA,included,NA,yes,NA
ANR,Species,NA,included,NA,yes,NA
STO,Nei,genus,included,NA,yes,NA
ANX,Nei,family,included,NA,yes,NA
DOB,Species,NA,included,NA,yes,NA
CNU,Species,NA,included,NA,yes,NA
DOS,Nei,genus,included,NA,yes,NA
EIL,Species,NA,included,NA,yes,NA
ILI,Species,NA,included,NA,yes,NA
PEQ,Species,NA,included,NA,yes,NA
PEO,Species,NA,included,NA,yes,NA
DCX,Nei,order,included,NA,yes,NA
CLU,Nei,order,included,NA,yes,NA
MIL,Species,NA,included,yes,yes,NA
SAL,Species,NA,included,yes,yes,NA
TRS,Species,NA,included,yes,yes,NA
SFI,Species,NA,included,yes,yes,NA
TRO,Nei,genus,included,yes,yes,NA
ONA,Species,NA,included,yes,NA,yes
PIN,Species,NA,included,yes,yes,NA
CHU,Species,NA,included,yes,yes,NA
CHE,Species,NA,included,yes,yes,NA
SOC,Species,NA,included,yes,yes,NA
CHI,Species,NA,included,yes,yes,NA
COH,Species,NA,included,yes,yes,NA
TRR,Species,NA,included,yes,yes,NA
ORC,Nei,genus,included,yes,yes,NA
SVF,Species,NA,included,yes,yes,NA
ACH,Species,NA,included,yes,yes,NA
LAT,Species,NA,included,NA,yes,NA
CHR,Nei,genus,included,yes,yes,NA
HUC,Species,NA,included,yes,yes,NA
SLZ,Nei,family,included,yes,NA,yes
TLV,Species,NA,included,yes,yes,NA
PCA,Species,NA,included,yes,yes,NA
CAP,Species,NA,included,NA,yes,NA
SME,Species,NA,included,NA,yes,NA
SMR,Species,NA,included,NA,yes,NA
PSM,Species,NA,included,yes,yes,NA
SUS,Species,NA,included,NA,yes,NA
HVJ,Species,NA,included,NA,yes,NA
EUL,Species,NA,included,NA,yes,NA
SMX,Nei,genus,included,NA,yes,NA
ARU,Species,NA,included,NA,yes,NA
ARY,Species,NA,included,NA,yes,NA
ARG,Nei,genus,included,NA,yes,NA
DES,Species,NA,included,NA,yes,NA
PRS,Species,NA,included,yes,NA,yes
SZM,Species,NA,included,NA,yes,NA
FVE,Species,NA,included,NA,yes,NA
PLN,Species,NA,included,yes,yes,NA
HOU,Species,NA,included,NA,yes,NA
WHL,Species,NA,included,NA,yes,NA
CIS,Species,NA,included,NA,yes,NA
CIJ,Species,NA,included,yes,NA,yes
WHF,Nei,genus,included,yes,yes,NA
PCY,Species,NA,included,NA,yes,NA
ALC,Species,NA,included,NA,yes,NA
ALH,Nei,genus,included,NA,yes,NA
SLX,Nei,order,included,yes,yes,NA
FPI,Species,NA,included,yes,yes,NA
MAV,Species,NA,included,NA,yes,NA
BRT,Species,NA,included,NA,yes,NA
ARP,Species,NA,included,yes,yes,NA
OOB,Species,NA,included,NA,yes,NA
OHB,Species,NA,included,NA,yes,NA
HTN,Species,NA,included,yes,yes,NA
NCC,Species,NA,included,yes,NA,yes
NCG,Species,NA,included,NA,yes,NA
ONN,Species,NA,included,yes,NA,yes
FKN,Nei,genus,included,yes,yes,NA
ONP,Species,NA,included,yes,yes,NA
OEY,Nei,family,included,NA,yes,NA
OGN,Species,NA,included,yes,yes,NA
CEW,Species,NA,included,NA,yes,NA
LAD,Species,NA,included,NA,yes,NA
CEC,Species,NA,included,NA,yes,NA
TAR,Species,NA,included,yes,yes,NA
TAI,Species,NA,included,NA,yes,NA
BOF,Species,NA,included,NA,yes,NA
BNF,Species,NA,included,NA,yes,NA
ALX,Species,NA,included,NA,yes,NA
MNL,Species,NA,included,NA,yes,NA
NOE,Nei,genus,included,NA,yes,NA
CVW,Species,NA,included,NA,yes,NA
GRE,Nei,family,included,NA,yes,NA
BUC,Species,NA,included,NA,yes,NA
SDR,Species,NA,included,NA,yes,NA
LIG,Species,NA,included,NA,yes,NA
LIB,Species,NA,included,NA,yes,NA
LIX,Nei,family,included,NA,yes,NA
LAN,Species,NA,included,NA,yes,NA
LAC,Species,NA,included,NA,yes,NA
BHQ,Species,NA,included,NA,yes,NA
ELC,Species,NA,included,NA,yes,NA
GYN,Species,NA,included,NA,yes,NA
LXX,Nei,family,included,NA,yes,NA
AXF,Species,NA,included,yes,yes,NA
BZH,Species,NA,included,yes,NA,yes
BNC,Species,NA,included,yes,NA,yes
BXN,Species,NA,included,yes,NA,yes
BNV,Species,NA,included,NA,yes,NA
BNO,Species,NA,included,yes,yes,NA
BVD,Species,NA,included,NA,yes,NA
