alpha_code,resolved_sci_name
LAU,Petromyzon marinus
LAR,Lampetra fluviatilis
LAS,Petromyzontidae
MYG,Myxine glutinosa
MWC,Eptatretus cirrhatus
MYX,Myxinidae
SBL,Hexanchus griseus
HXT,Heptranchias perlo
NTC,Notorynchus cepedianus
BSK,Cetorhinus maximus
CCT,Carcharias taurus
PSK,Pseudocarcharias kamoharai
ALV,Alopias vulpinus
PTH,Alopias pelagicus
BTH,Alopias superciliosus
THR,Alopias
SMA,Isurus oxyrinchus
LMA,Isurus paucus
MAK,Isurus
POR,Lamna nasus
WSH,Carcharodon carcharias
MSK,Lamnidae
GNC,Ginglymostoma cirratum
SHO,Galeus melastomus
GAM,Galeus murinus
SYC,Scyliorhinus canicula
SYT,Scyliorhinus stellaris
SCL,Scyliorhinus
HAN,Halaelurus canescens
CPS,Cephaloscyllium isabellum
SYX,Scyliorhinidae
BSH,Prionace glauca
CCP,Carcharhinus plumbeus
CCL,Carcharhinus limbatus
CCN,Carcharhinus acronotus
OCS,Carcharhinus longimanus
CCR,Carcharhinus porosus
CCD,Carcharhinus dussumieri
DUS,Carcharhinus obscurus
FAL,Carcharhinus falciformis
CCE,Carcharhinus leucas
BRO,Carcharhinus brachyurus
CCB,Carcharhinus brevipinna
CCS,Carcharhinus signatus
CCO,Carcharhinus isodon
CCQ,Carcharhinus sorrah
TIG,Galeocerdo cuvier
NGB,Negaprion brevirostris
RHT,Rhizoprionodon terraenovae
RHA,Rhizoprionodon acutus
RHL,Rhizoprionodon lalandii
RHR,Rhizoprionodon porosus
RSK,Carcharhinidae
SPZ,Sphyrna zygaena
SPL,Sphyrna lewini
SPJ,Sphyrna tiburo
SPK,Sphyrna mokarran
SPY,Sphyrnidae
CTU,Mustelus antarcticus
CTI,Mustelus canis
CTK,Mustelus henlei
MTL,Mustelus lenticulatus
SDP,Mustelus schmitti
SMD,Mustelus mustelus
SDS,Mustelus asterias
SDV,Mustelus
GAG,Galeorhinus galeus
LES,Triakis semifasciata
TTE,Triakis megalopterus
THJ,Hemitriakis japanica
HEI,Paragaleus pectoralis
CLL,Leptocharias smithii
CPG,Gollum attenuatus
GSK,Somniosus microcephalus
SOR,Somniosus rostratus
SON,Somniosus pacificus
QUB,Squalus blainville
DGS,Squalus acanthias
GUP,Centrophorus granulosus
GUQ,Centrophorus squamosus
CPL,Centrophorus lusitanicus
ETX,Etmopterus spinax
ETR,Etmopterus princeps
