SPECIES,Scientific_Name,Name_En,Major_Group
HKS,Merluccius bilinearis,Silver hake,PISCES
RNG,Coryphaenoides rupestris,Roundnose grenadier,PISCES
TRS,Salmo trutta,Sea trout,PISCES
SOC,Oncorhynchus nerka,Sockeye(=Red) salmon,PISCES
DEL,Dentex macrophthalmus,Large-eye dentex,PISCES
WHG,Merlangius merlangus,Whiting,PISCES
HKE,Merluccius merluccius,European hake,PISCES
PIL,Sardina pilchardus,European pilchard(=Sardine),PISCES
SPR,Sprattus sprattus,European sprat,PISCES
COD,Gadus morhua,Atlantic cod,PISCES
HAD,Melanogrammus aeglefinus,Haddock,PISCES
ANE,Engraulis encrasicolus,European anchovy,PISCES
PAC,Pagellus erythrinus,Common pandora,PISCES
PAR,Pagellus bellottii,Red pandora,PISCES
MON,Lophius piscatorius,Angler(=Monk),PISCES
HER,Clupea harengus,Atlantic herring,PISCES
DGS,Squalus acanthias,Picked dogfish,PISCES
GAL,Galeoides decadactylus,Lesser African threadfin,PISCES
NHA,Merluccius productus,North Pacific hake,PISCES
HAL,Hippoglossus hippoglossus,Atlantic halibut,PISCES
MLS,Tetrapturus audax,Striped marlin,PISCES
RPG,Pagrus pagrus,Red porgy,PISCES
SWO,Xiphias gladius,Swordfish,PISCES
SBG,Sparus aurata,Gilthead seabream,PISCES
CHO,Loligo reynaudii,Cape Hope squid,MOLLUSCA
OCC,Octopus vulgaris,Common octopus,MOLLUSCA
HOM,Trachurus trachurus,Atlantic horse mackerel,PISCES
JAA,Trachurus picturatus,Blue jack mackerel,PISCES
NEP,Nephrops norvegicus,Norway lobster,CRUSTACEA
VMA,Scomber colias,Atlantic chub mackerel,PISCES
SKJ,Katsuwonus pelamis,Skipjack tuna,PISCES
BET,Thunnus obesus,Bigeye tuna,PISCES
BLU,Pomatomus saltatrix,Bluefish,PISCES
CBA,Rachycentron canadum,Cobia,PISCES
BUM,Makaira nigricans,Blue marlin,PISCES
YFT,Thunnus albacares,Yellowfin tuna,PISCES
MHA,Brevoortia tyrannus,Atlantic menhaden,PISCES
SAA,Sardinella aurita,Round sardinella,PISCES
SMA,Isurus oxyrinchus,Shortfin mako,PISCES
BSH,Prionace glauca,Blue shark,PISCES
MHG,Brevoortia patronus,Gulf menhaden,PISCES
SQI,Illex illecebrosus,Northern shortfin squid,MOLLUSCA
LHT,Trichiurus lepturus,Largehead hairtail,PISCES
ALB,Thunnus alalunga,Albacore,PISCES
WHM,Tetrapturus albidus,Atlantic white marlin,PISCES
HMM,Trachurus mediterraneus,Mediterranean horse mackerel,PISCES
GRB,Brachydeuterus auritus,Bigeye grunt,PISCES
SCP,Stenotomus chrysops,Scup,PISCES
AMB,Seriola dumerili,Greater amberjack,PISCES
NOP,Trisopterus esmarkii,Norway pout,PISCES
JAN,Engraulis japonicus,Japanese anchovy,PISCES
SBF,Thunnus maccoyii,Southern bluefin tuna,PISCES
JJM,Trachurus japonicus,Japanese jack mackerel,PISCES
MUF,Mugil cephalus,Flathead grey mullet,PISCES
HKB,Merluccius polli,Benguela hake,PISCES
PBF,Thunnus orientalis,Pacific bluefin tuna,PISCES
HMZ,Trachurus trecae,Cunene horse mackerel,PISCES
MAS,Scomber japonicus,Pacific chub mackerel,PISCES
HMC,Trachurus capensis,Cape horse mackerel,PISCES
MAC,Scomber scombrus,Atlantic mackerel,PISCES
SQL,Loligo pealeii,Longfin squid,MOLLUSCA
JAP,Sardinops melanostictus,Japanese pilchard,PISCES
ANA,Engraulis anchoita,Argentine anchovy,PISCES
CHP,Sardinops sagax,South American pilchard,PISCES
BFT,Thunnus thynnus,Atlantic bluefin tuna,PISCES
SQJ,Todarodes pacificus,Japanese flying squid,MOLLUSCA
MAA,Scomber australasicus,Blue mackerel,PISCES
GSU,Pagrus auratus,Silver seabream,PISCES
ELS,Conger myriaster,Whitespotted conger,PISCES
LJN,Lutjanus analis,Mutton snapper,PISCES
KGM,Scomberomorus cavalla,King mackerel,PISCES
GUQ,Centrophorus squamosus,Leafscale gulper shark,PISCES
SCK,Dalatias licha,Kitefin shark,PISCES
LTJ,Lutjanus vivanus,Silk snapper,PISCES
